ad_id,source,platform,advertiser,advertiser_image,facebook_page_id,title,body,cta,landing_page,image_url,video_url,first_seen,last_seen,is_active,likes,comments,shares,impressions,total_engagement,days_running,heat,ad_type,video_duration,country,channels,has_media,has_store,brand_active_ads,brand_total_ads,brand_estimated_audience,brand_estimated_spend,store_url,store_domain,store_created_at,store_country,store_products_listed,store_monthly_visits,store_daily_revenue,total_cards,search_keyword,collected_at
9303022f-91cf-4e0b-99da-68e85024c793,minea,facebook,TwoTrees CNC,https://d1h2rbttwpj2ub.cloudfront.net/dda48e4735c2d20c7f29e9afd45b8ce0a450453b21cece0487de9b7c8057e2ee.webp,504504546085673,,"Seguimos com nosso primeiro trabalho na nossa nova router cnc TTC 450 Pro da @twotrees3d.official Uma maquina sensacional que traz uma grande oportunidade de ganhar dinheiro fazendo peças pequenas, decorativas e de uso no cotidiano e porque não dizer trabalhar de forma profissional com uma possibilidade incrivel de fazer peças repitidas sem perder a caracteristica da criação original, ter uma router cnc é ter uma renda extra no dia dia na marcenaria. Quer saber mais sobre esta maquina e questão de valores é só chamar no direct.

Assista o video do review completo ja disponivel em mosso canal, link da bio @tiagocarpintteiro

#carpintariabarbosa #twotrees #cnc #ttc450pro #moveis #rustico #moveisdemadeira #marcenariacriativa #ideiascriativas #criatividade #woodworking #woodworkingtools #woodw",Shop now,https://twotrees3d.com/pages/sales,https://d1h2rbttwpj2ub.cloudfront.net/2edb8e57283674e8c683cf54533983bc1c3e7af9f8a98066e254bd32d289958c.webp,https://d1h2rbttwpj2ub.cloudfront.net/aeb00821fa6e66ef23ea12f9fa3fd957b2073ccc78589ea59c363ee60cd80a3d.mp4,2026-01-20T08:00:00+00:00,2026-01-31T08:00:00+00:00,False,0,0,0,0,0,11,0,video,0,HK,facebook,True,True,26,879,2988166,26893.49,https://twotrees3d.com,twotrees3d.com,2025-06-27T14:13:21+08:00,HK,167,121514,7508.58,1,ganhar dinheiro,2026-03-25 12:34
68b7338e-f844-4beb-879d-2e55cadcc6c8,minea,facebook,Alma dos Livros,https://d1h2rbttwpj2ub.cloudfront.net/fbf3e020f5d9a5822b86d8d510a535654624aa6423a7e5e477413230b8c4483b.webp,1152062354861544,No Final é Para Sempre,"QUANDO O AMOR É TUDO O QUE RESTA… QUE MAIS PODEMOS SACRIFICAR?

Elena Rousseau está prestes a perder tudo: a mãe, a única família que tem, está entre a vida e a morte… e as despesas médicas não param de aumentar. Desesperada, Elena toma uma decisão difícil: entrar num clube privado de cavalheiros para ganhar dinheiro e conseguir salvar quem ama.

É lá que reencontra Alexander Kennedy, um antigo conhecido — e bilionário. Rico, poderoso, e com um passado sombrio, Alexander é o último homem que Elena esperava encontrar naquele lugar. Mas ele não está ali por acaso. Tem um plano — e ela faz parte dele.

Alexander propõe-lhe um acordo: um casamento de conveniência. Sem sentimentos. Sem perguntas. Apenas um contrato. Ela ganha o dinheiro de que precisa sem ter de corromper o seu corpo, e ele uma",Learn more,https://almadoslivros.pt/products/no-final-e-para-sempre?_pos=1&_psq=No+final&_ss=e&_v=1.0,https://d1h2rbttwpj2ub.cloudfront.net/af06f913f95c573977fcdc21aaaf07ca0ae4f73125db30a272b4a0bd13272ded.webp,,2025-08-30T07:00:00+00:00,2025-09-11T07:00:00+00:00,False,0,0,0,0,0,12,0,image,0,PT,facebook,True,True,126,7453,43548158,391933.42,https://almadoslivros.pt,almadoslivros.pt,2018-05-15T17:29:09+01:00,PT,558,23266,2522.28,1,ganhar dinheiro,2026-03-25 12:34
22c4bac7-573f-434b-879b-b8f2b4fee7ea,minea,facebook,TwoTrees CNC,https://d1h2rbttwpj2ub.cloudfront.net/dda48e4735c2d20c7f29e9afd45b8ce0a450453b21cece0487de9b7c8057e2ee.webp,504504546085673,,"Seguimos com nosso primeiro trabalho na nossa nova router cnc TTC 450 Pro da @twotrees3d.official Uma maquina sensacional que traz uma grande oportunidade de ganhar dinheiro fazendo peças pequenas, decorativas e de uso no cotidiano e porque não dizer trabalhar de forma profissional com uma possibilidade incrivel de fazer peças repitidas sem perder a caracteristica da criação original, ter uma router cnc é ter uma renda extra no dia dia na marcenaria. Quer saber mais sobre esta maquina e questão de valores é só chamar no direct.

Assista o video do review completo ja disponivel em mosso canal, link da bio @tiagocarpintteiro

#carpintariabarbosa #twotrees #cnc #ttc450pro #moveis #rustico #moveisdemadeira #marcenariacriativa #ideiascriativas #criatividade #woodworking #woodworkingtools #woodw",Shop now,https://twotrees3d.com/pages/sales,https://d1h2rbttwpj2ub.cloudfront.net/2edb8e57283674e8c683cf54533983bc1c3e7af9f8a98066e254bd32d289958c.webp,https://d1h2rbttwpj2ub.cloudfront.net/603230392c2b2c00bba59e0366c12e05080688c1a24fdbcc9d591e794b1dd9bb.mp4,2025-11-25T08:00:00+00:00,2025-12-23T08:00:00+00:00,False,0,0,0,0,0,28,0,video,0,HK,facebook,True,True,26,879,2988166,26893.49,https://twotrees3d.com,twotrees3d.com,2025-06-27T14:13:21+08:00,HK,167,121514,7508.58,1,ganhar dinheiro,2026-03-25 12:34
bab85fea-43b5-466b-8d48-195e7b577d8d,minea,facebook,TwoTrees CNC,https://d1h2rbttwpj2ub.cloudfront.net/dda48e4735c2d20c7f29e9afd45b8ce0a450453b21cece0487de9b7c8057e2ee.webp,504504546085673,,"Seguimos na produção de mais um trabalho na nossa router cnc TTC 450 Pro da @twotrees3d.official
E dessa vez adaptada com o spindle de 500w. Esta é uma maquina incrivelmente precisa e que tras um otimo acabamento na usinagem.
Uma maquina pra se divertir, usando sua criatividade fazendo peças pequenas, decorativas e de uso no cotidiano de forma simples, facil e profissional. Ter uma router cnc é garantir uma renda extra no dia dia na marcenaria. Quer saber mais sobre esta maquina e questão de valores é só chamar no direct.

Assista o video do review completo ja disponivel em mosso canal, link da bio @tiagocarpintteiro

#carpintariabarbosa #twotrees #cnc #ttc450pro #moveis #rustico #moveisdemadeira #marcenariacriativa #ideiascriativas #criatividade #woodworking #woodworkingtools #woodworking",Shop now,https://twotrees3d.com/pages/sales,,https://d1h2rbttwpj2ub.cloudfront.net/05b54dc24ccc85123e06f78c65a42a8a47664701c856c3b7efc4e25b5bcd8bc0.mp4,2026-03-15T07:00:00+00:00,2026-03-23T07:00:00+00:00,True,0,0,0,0,0,10,0,video,0,HK,facebook,True,True,26,879,2988166,26893.49,https://twotrees3d.com,twotrees3d.com,2025-06-27T14:13:21+08:00,HK,167,121514,7508.58,1,renda extra,2026-03-25 12:34
40a05947-a1b2-439e-9d6f-f091388f8714,minea,facebook,TwoTrees CNC,https://d1h2rbttwpj2ub.cloudfront.net/dda48e4735c2d20c7f29e9afd45b8ce0a450453b21cece0487de9b7c8057e2ee.webp,504504546085673,,"Seguimos na produção de mais um trabalho na nossa router cnc TTC 450 Pro da @twotrees3d.official
E dessa vez adaptada com o spindle de 500w. Esta é uma maquina incrivelmente precisa e que tras um otimo acabamento na usinagem.
Uma maquina pra se divertir, usando sua criatividade fazendo peças pequenas, decorativas e de uso no cotidiano de forma simples, facil e profissional. Ter uma router cnc é garantir uma renda extra no dia dia na marcenaria. Quer saber mais sobre esta maquina e questão de valores é só chamar no direct.

Assista o video do review completo ja disponivel em mosso canal, link da bio @tiagocarpintteiro

#carpintariabarbosa #twotrees #cnc #ttc450pro #moveis #rustico #moveisdemadeira #marcenariacriativa #ideiascriativas #criatividade #woodworking #woodworkingtools #woodworking",Shop now,https://twotrees3d.com/pages/sales,https://d1h2rbttwpj2ub.cloudfront.net/4e4913197cc55fe0f6424a3c84e870badfa457457ba91a7476a4f329ff6c3259.webp,https://d1h2rbttwpj2ub.cloudfront.net/106c52c8102eb5aa80445d7f07386df919bfd8c8ccdaec4210611ae47b722e00.mp4,2025-11-26T08:00:00+00:00,2025-12-23T08:00:00+00:00,False,0,0,0,0,0,27,0,video,0,HK,facebook,True,True,26,879,2988166,26893.49,https://twotrees3d.com,twotrees3d.com,2025-06-27T14:13:21+08:00,HK,167,121514,7508.58,1,renda extra,2026-03-25 12:34
1dc8ff38-a600-4ce2-a4d3-a23d03c5266f,minea,facebook,Azurikass,https://d1h2rbttwpj2ub.cloudfront.net/754c86af9c219045b3e4ee932088d2cd15d579bf0758d96a785a3726c9e3f321.webp,716398164885731,🎉 Promoção exclusiva até -65%! Proteger a família nunca foi tão acessível 💖,"Na terça-feira passada, às 14h17, o meu filho de 3 anos, o Léo, ficou roxo na nossa
cozinha.
O que aconteceu a seguir vai perseguir-me para sempre — e é por isso que TODOS os pais
precisam de ler isto.
Lembro-me de cada detalhe daquele dia. Eu estava a trabalhar em casa, e o Léo estava a
brincar calmamente na cozinha enquanto comia pedaços de maçã — que eu tinha
cuidadosamente cortado em cubinhos, como nos ensinam à prudência.
Ele estava a cantarolar uma canção. E de repente… silêncio.
Olhei para ele. As suas mãozinhas foram imediatamente à garganta. Os seus olhos
abriram-se de pânico, presos aos meus. Nenhum som. Nenhum ar.
Nesse instante, tudo pára. Percebemos o quão realmente indefesos somos. O pânico
invade-nos, mas o instinto assume o controlo.
Fiz tudo o que devia: pancadas nas costa",Order Now,https://azurikass.com/products/kit-primeiros-socorros,https://d1h2rbttwpj2ub.cloudfront.net/dc8d272a53702d492a4ec132a3f697708c1bf612209462e5eefbe7eb67756b46.webp,,2026-02-27T08:00:00+00:00,2026-03-01T08:00:00+00:00,False,0,0,0,0,0,2,0,image,0,US,facebook,True,True,6,201,2815824,25342.42,https://azurikass.com,azurikass.com,2025-07-14T14:40:16+01:00,US,12,0,336,4,trabalhar em casa,2026-03-25 12:35
0c71ec73-7b1f-4d78-ae25-ee00daf80442,minea,facebook,Azurikass,https://d1h2rbttwpj2ub.cloudfront.net/754c86af9c219045b3e4ee932088d2cd15d579bf0758d96a785a3726c9e3f321.webp,716398164885731,🎉 Promoção exclusiva até -65%! Proteger a família nunca foi tão acessível 💖,"Na terça-feira passada, às 14h17, o meu filho de 3 anos, o Léo, ficou roxo na nossa
cozinha.
O que aconteceu a seguir vai perseguir-me para sempre — e é por isso que TODOS os pais
precisam de ler isto.
Lembro-me de cada detalhe daquele dia. Eu estava a trabalhar em casa, e o Léo estava a
brincar calmamente na cozinha enquanto comia pedaços de maçã — que eu tinha
cuidadosamente cortado em cubinhos, como nos ensinam à prudência.
Ele estava a cantarolar uma canção. E de repente… silêncio.
Olhei para ele. As suas mãozinhas foram imediatamente à garganta. Os seus olhos
abriram-se de pânico, presos aos meus. Nenhum som. Nenhum ar.
Nesse instante, tudo pára. Percebemos o quão realmente indefesos somos. O pânico
invade-nos, mas o instinto assume o controlo.
Fiz tudo o que devia: pancadas nas costa",Order Now,https://azurikass.com/products/a-asfixia-n-1-de-todos-os-pais,https://d1h2rbttwpj2ub.cloudfront.net/dc8d272a53702d492a4ec132a3f697708c1bf612209462e5eefbe7eb67756b46.webp,,2025-12-24T08:00:00+00:00,2026-02-04T08:00:00+00:00,False,0,0,0,0,0,42,0,image,0,US,facebook,True,True,6,201,2815824,25342.42,https://azurikass.com,azurikass.com,2025-07-14T14:40:16+01:00,US,12,0,336,4,trabalhar em casa,2026-03-25 12:35
88fb670b-f012-4b42-b416-2d525d6e522d,minea,facebook,Dr. Hélène Garnier,https://d1h2rbttwpj2ub.cloudfront.net/c0899a5a394a585dda2be808a19ea6c9589c1fc97bdf9448ae74e397cce85134.webp,142699842268230,🇫🇷 Fabriqué en France | 🚚 Livraison rapide en France | ❤️ Garantie de remboursement de 180 jours,"🌿 « Je n'ai pas changé de travail – j'ai simplement permis à mon corps de suivre le rythme de ma vie. » 🌿

Je m'appelle Julie Martin, j'ai 32 ans, je vis en Île-de-France et je travaille dans une entreprise de marketing digital depuis 7 ans.

📎 Avant : Écrasée par mon travail et mon corps en même temps

En France, on dit souvent :
« Il faut de l'ordre. »

Mais pendant ces années-là, il n'y avait plus rien d'ordonné dans ma vie.

Des heures passées assise au bureau chaque jour
Des dossiers, des appels téléphoniques, des factures — sans pause
Le déjeuner consistait souvent en un sandwich, de la charcuterie et des sucreries
Vers 15 heures, c'était le total épuisement
Après le travail, je n'avais qu'une envie : m'effondrer et ne plus bouger

Avec le temps, j'ai remarqué :
✔️ Mes vêtements deve",Learn more,https://DermGlow.top/products/frlu01,https://d1h2rbttwpj2ub.cloudfront.net/af377e1d6491440cc6a3ac0134d853b82b1caf564fff6719fe8a3bbb69a27b91.webp,https://d1h2rbttwpj2ub.cloudfront.net/e1d36e60b2490d4e14eb19bdbbb62f2f445b5d192fb8c6b40f5aba9f884d278a.mp4,2025-12-30T08:00:00+00:00,2025-12-30T08:00:00+00:00,False,0,0,0,0,0,0,0,video,0,HK,facebook,True,True,4,555,1522237,13700.13,https://fravitalwellness.com,fravitalwellness.com,2025-06-25T10:56:27-07:00,HK,70,16943,565.82,1,marketing digital,2026-03-25 12:35
333a5f1f-1f74-42bf-8e3d-f2677f4a19ee,minea,facebook,Bryan John Lynch,https://d1h2rbttwpj2ub.cloudfront.net/81c60e1f8d6fd8499a3ef86f3b7f3a6cab69711fb7b47c8cca9a39c4e88ca0ae.webp,122105694578001786,,"POV : Quand mes clientes parlent derri✨re mon dos 

 Ce que tu ne vois pas dans le miroir, cest limpact de la profondeur dune vraie stratgie.

Jentends souvent mes clientes se dire quelles ne savaient pas ce quelles manquaient avant de bosser avec moi. Mais  un moment donn, il ne sagit plus dun simple projet de branding, cest une transformation. Chaque lment de leur stratgie devient le miroir de leurs ambitions.

 Les bons retours ? J'adore. Mais ce qui me rend fi✨re, c'est de voir mes clientes simpliquer, se voir dans une nouvelle lumi✨re et afficher fi✨rement leur identit ✨

Moi c'est Mam, & j'accompagne les marques afro & caribennes pour les rendre premium & crdibles aux yeux de leur cible 

Rserve un appel dcouverte et nous changerons sur les spcificits de ton projet pour trouver la so",Shop now,https://cavost.com/collections,https://d1h2rbttwpj2ub.cloudfront.net/a56da570f5c9c98df21dd2e782c8255aeec29d967b54e17ba10487003718e515.webp,https://d1h2rbttwpj2ub.cloudfront.net/db82c44b0026ff5af772281866d1ddb012876d5fe57a9f026ebb6256db7d2952.mp4,2025-06-18T07:00:00+00:00,2025-06-29T07:00:00+00:00,False,0,0,0,0,0,11,0,video,0,US,facebook,True,True,,223,7712,69.41,https://cavost.com,cavost.com,2025-05-16T01:26:06-07:00,US,13,0,192.5,1,marketing digital,2026-03-25 12:35
95c2a0bd-8f00-4b67-aced-60c4da6bcf1c,minea,facebook,Kyle Steven Maddie,https://d1h2rbttwpj2ub.cloudfront.net/eb02ac58fcf02fc79f458e35bf4ba2610608a7b043d87acc5c823138988faf45.webp,121363777721586,Collections,"Il y a des moments o dire non est la dcision la plus sage.  Travailler avec des afropreneurs ambitieux et conscients, cest bien plus que simplement excuter un projet : cest sassurer que chaque cration, chaque stratgie, chaque dtail est parfaitement align avec une vision forte et des valeurs partages.

Je prfre de loin dcliner un projet qui ne correspond pas  cette nergie, plutt que de livrer quelque chose qui nincarne pas lme et lessence de ta marque.  Parce quune marque solide, authentique et durable ne se construit pas dans la prcipitation, mais dans la conviction.

Mon engagement est daccompagner des projets qui inspirent, qui ont du sens et qui laissent une trace. Si cest pour te donner un travail qui ne te ressemble pas, je prfre me retirer. 

.
Moi c'est Mam, & j'accompagne les marqu",Shop now,https://cavost.com/collections,https://d1h2rbttwpj2ub.cloudfront.net/bffcda3556f09c2a469b0df1b9126d51156d9a7529b2aa4dc213a02e3730b0fc.webp,,2025-06-14T07:00:00+00:00,2025-06-14T07:00:00+00:00,False,0,0,0,0,0,0,0,image,0,US,facebook,True,True,,227,6279,56.51,https://cavost.com,cavost.com,2025-05-16T01:26:06-07:00,US,13,0,192.5,1,marketing digital,2026-03-25 12:35
